,plate_id,study,plate_type,species,strain,media,rep,setup_time
24,25,P. putida JBEI,PM01,P. putida,17514,IF0,R1,11/15/2020 4:59:27 PM
25,26,P. putida JBEI,PM01,P. putida,17514,IF0,R2,11/15/2020 4:59:27 PM
26,27,P. putida JBEI,PM01,P. putida,17485,IF0,R1,11/20/2020 12:56:37 PM
27,28,P. putida JBEI,PM01,P. putida,17485,IF0,R2,11/20/2020 12:56:37 PM
28,29,P. putida JBEI,PM01,P. putida,17494,IF0,R1,11/20/2020 12:56:37 PM
29,30,P. putida JBEI,PM01,P. putida,17494,IF0,R2,11/20/2020 12:56:37 PM
30,31,P. putida JBEI,PM01,P. putida,21025,IF0,R1,11/16/2020 11:55:20 AM
31,32,P. putida JBEI,PM01,P. putida,21025,IF0,R2,11/16/2020 11:55:20 AM
32,33,P. putida JBEI,PM01,P. putida,8209,IF0,R1,11/16/2020 11:55:20 AM
33,34,P. putida JBEI,PM01,P. putida,8209,IF0,R2,11/16/2020 11:55:20 AM
34,35,P. putida JBEI,PM02A,P. putida,15070,IF0,R1,11/15/2020 4:59:27 PM
35,36,P. putida JBEI,PM02A,P. putida,15070,IF0,R2,11/15/2020 4:59:27 PM
36,37,P. putida JBEI,PM02A,P. putida,31753,IF0,R1,11/15/2020 4:59:27 PM
37,38,P. putida JBEI,PM02A,P. putida,31753,IF0,R2,11/15/2020 4:59:27 PM
38,39,P. putida JBEI,PM02A,P. putida,49688,IF0,R1,11/15/2020 4:59:27 PM
39,40,P. putida JBEI,PM02A,P. putida,49688,IF0,R2,11/15/2020 4:59:27 PM
40,41,P. putida JBEI,PM02A,P. putida,68832,IF0,R1,11/20/2020 12:56:37 PM
41,42,P. putida JBEI,PM02A,P. putida,68832,IF0,R2,11/20/2020 12:56:37 PM
42,43,P. putida JBEI,PM02A,P. putida,700097,IF0,R1,11/15/2020 4:59:27 PM
43,44,P. putida JBEI,PM02A,P. putida,700097,IF0,R2,11/15/2020 4:59:27 PM
44,45,P. putida JBEI,PM02A,P. putida,11172,IF0,R1,11/15/2020 4:59:27 PM
45,46,P. putida JBEI,PM02A,P. putida,11172,IF0,R2,11/15/2020 4:59:27 PM
46,47,P. putida JBEI,PM02A,P. putida,23484,IF0,R1,11/15/2020 4:59:27 PM
47,48,P. putida JBEI,PM02A,P. putida,23484,IF0,R2,11/15/2020 4:59:27 PM
48,49,P. putida JBEI,PM02A,P. putida,795,IF0,R1,11/20/2020 12:56:37 PM
49,50,P. putida JBEI,PM02A,P. putida,795,IF0,R2,11/20/2020 12:56:37 PM
50,51,P. putida JBEI,PM02A,P. putida,598,IF0,R1,11/20/2020 12:56:37 PM
51,52,P. putida JBEI,PM02A,P. putida,598,IF0,R2,11/20/2020 12:56:37 PM
52,53,P. putida JBEI,PM02A,P. putida,12842,IF0,R1,11/20/2020 12:56:37 PM
53,54,P. putida JBEI,PM02A,P. putida,12842,IF0,R2,11/20/2020 12:56:37 PM
54,55,P. putida JBEI,PM02A,P. putida,17428,IF0,R1,11/20/2020 12:56:37 PM
55,56,P. putida JBEI,PM02A,P. putida,17428,IF0,R2,11/20/2020 12:56:37 PM
56,57,P. putida JBEI,PM02A,P. putida,17453,IF0,R1,11/15/2020 4:59:27 PM
57,58,P. putida JBEI,PM02A,P. putida,17453,IF0,R2,11/15/2020 4:59:27 PM
58,59,P. putida JBEI,PM02A,P. putida,17514,IF0,R1,11/15/2020 4:59:27 PM
59,60,P. putida JBEI,PM02A,P. putida,17514,IF0,R2,11/15/2020 4:59:27 PM
60,61,P. putida JBEI,PM02A,P. putida,17485,IF0,R1,11/20/2020 12:56:37 PM
61,62,P. putida JBEI,PM02A,P. putida,17485,IF0,R2,11/20/2020 12:56:37 PM
62,63,P. putida JBEI,PM02A,P. putida,17494,IF0,R1,11/20/2020 12:56:37 PM
63,64,P. putida JBEI,PM02A,P. putida,17494,IF0,R2,11/20/2020 12:56:37 PM
64,65,P. putida JBEI,PM02A,P. putida,21025,IF0,R1,11/16/2020 11:55:20 AM
65,66,P. putida JBEI,PM02A,P. putida,21025,IF0,R2,11/16/2020 11:55:20 AM
66,67,P. putida JBEI,PM02A,P. putida,8209,IF0,R1,11/16/2020 11:55:20 AM
67,68,P. putida JBEI,PM02A,P. putida,8209,IF0,R2,11/16/2020 11:55:20 AM
68,69,P. putida JBEI,PM01,P. putida,13795,M9,R1,12/2/2020 1:04:03 PM
69,70,P. putida JBEI,PM01,P. putida,13795,M9,R2,12/2/2020 1:04:03 PM
70,71,P. putida JBEI,PM01,P. putida,17502,M9,R1,12/2/2020 1:04:03 PM
71,72,P. putida JBEI,PM01,P. putida,17502,M9,R2,12/2/2020 1:04:03 PM
72,73,P. putida JBEI,PM01,P. putida,17390,M9,R1,11/22/2020 2:41:55 PM
73,74,P. putida JBEI,PM01,P. putida,17390,M9,R2,11/22/2020 2:41:55 PM
74,75,P. putida JBEI,PM01,P. putida,700447,M9,R1,11/22/2020 2:41:55 PM
75,76,P. putida JBEI,PM01,P. putida,700447,M9,R2,11/22/2020 2:41:55 PM
76,77,P. putida JBEI,PM02A,P. putida,13795,M9,R1,12/2/2020 1:04:03 PM
77,78,P. putida JBEI,PM02A,P. putida,13795,M9,R2,12/2/2020 1:04:03 PM
78,79,P. putida JBEI,PM02A,P. putida,17502,M9,R1,12/2/2020 1:04:03 PM
79,80,P. putida JBEI,PM02A,P. putida,17502,M9,R2,12/2/2020 1:04:03 PM
80,81,P. putida JBEI,PM02A,P. putida,17390,M9,R1,11/22/2020 2:41:55 PM
81,82,P. putida JBEI,PM02A,P. putida,17390,M9,R2,11/22/2020 2:41:55 PM
82,83,P. putida JBEI,PM02A,P. putida,700447,M9,R1,11/22/2020 2:41:55 PM
83,84,P. putida JBEI,PM02A,P. putida,700447,M9,R2,11/22/2020 2:41:55 PM
84,409,P. putida JBEI,PM01,P. putida,ATCC12633,M9,R1,5/10/2020 2:55:18 PM
85,410,P. putida JBEI,PM01,P. putida,ATCC12633,M9,R2,5/10/2020 2:55:18 PM
86,411,P. putida JBEI,PM01,P. putida,ATCC17522,M9,R1,5/13/2020 11:49:24 AM
87,412,P. putida JBEI,PM01,P. putida,ATCC17522,M9,R2,5/13/2020 11:49:24 AM
88,413,P. putida JBEI,PM01,P. putida,ATCC23973,M9,R1,5/10/2020 2:55:18 PM
89,414,P. putida JBEI,PM01,P. putida,ATCC23973,M9,R2,5/10/2020 2:55:18 PM
90,415,P. putida JBEI,PM01,P. putida,ATCC23974,M9,R1,5/9/2020 5:20:44 PM
91,416,P. putida JBEI,PM01,P. putida,ATCC23974,M9,R2,5/9/2020 5:20:44 PM
92,417,P. putida JBEI,PM01,P. putida,ATCC25571,M9,R1,5/9/2020 5:20:44 PM
93,418,P. putida JBEI,PM01,P. putida,ATCC25571,M9,R2,5/9/2020 5:20:44 PM
94,419,P. putida JBEI,PM01,P. putida,ATCC31800,M9,R1,5/13/2020 11:49:24 AM
95,420,P. putida JBEI,PM01,P. putida,ATCC31800,M9,R2,5/13/2020 11:49:24 AM
96,421,P. putida JBEI,PM01,P. putida,ATCC43142,M9,R1,5/9/2020 5:20:44 PM
97,422,P. putida JBEI,PM01,P. putida,ATCC43142,M9,R2,5/9/2020 5:20:44 PM
98,423,P. putida JBEI,PM01,P. putida,ATCC4359,M9,R1,5/13/2020 11:49:24 AM
99,424,P. putida JBEI,PM01,P. putida,ATCC4359,M9,R2,5/13/2020 11:49:24 AM
100,425,P. putida JBEI,PM01,P. putida,ATCC53645,M9,R1,5/14/2020 10:23:42 AM
101,426,P. putida JBEI,PM01,P. putida,ATCC53645,M9,R2,5/14/2020 10:23:42 AM
102,427,P. putida JBEI,PM01,P. putida,ATCC700359,M9,R1,5/9/2020 5:20:44 PM
103,428,P. putida JBEI,PM01,P. putida,ATCC700359,M9,R2,5/9/2020 5:20:44 PM
104,429,P. putida JBEI,PM01,P. putida,KT2440,M9,R1,5/14/2020 10:23:42 AM
105,430,P. putida JBEI,PM01,P. putida,KT2440,M9,R2,5/14/2020 10:23:42 AM
106,431,P. putida JBEI,PM02A,P. putida,ATCC12633,M9,R1,5/10/2020 2:55:18 PM
107,432,P. putida JBEI,PM02A,P. putida,ATCC12633,M9,R2,5/10/2020 2:55:18 PM
108,433,P. putida JBEI,PM02A,P. putida,ATCC17522,M9,R1,5/13/2020 11:49:24 AM
109,434,P. putida JBEI,PM02A,P. putida,ATCC17522,M9,R2,5/13/2020 11:49:24 AM
110,435,P. putida JBEI,PM02A,P. putida,ATCC23973,M9,R1,5/10/2020 2:55:18 PM
111,436,P. putida JBEI,PM02A,P. putida,ATCC23973,M9,R2,5/10/2020 2:55:18 PM
112,437,P. putida JBEI,PM02A,P. putida,ATCC23974,M9,R1,5/9/2020 5:20:44 PM
113,438,P. putida JBEI,PM02A,P. putida,ATCC23974,M9,R2,5/9/2020 5:20:44 PM
114,439,P. putida JBEI,PM02A,P. putida,ATCC25571,M9,R1,5/9/2020 5:20:44 PM
115,440,P. putida JBEI,PM02A,P. putida,ATCC25571,M9,R2,5/9/2020 5:20:44 PM
116,441,P. putida JBEI,PM02A,P. putida,ATCC31800,M9,R1,5/13/2020 11:49:24 AM
117,442,P. putida JBEI,PM02A,P. putida,ATCC31800,M9,R2,5/13/2020 11:49:24 AM
118,443,P. putida JBEI,PM02A,P. putida,ATCC43142,M9,R1,5/9/2020 5:20:44 PM
119,444,P. putida JBEI,PM02A,P. putida,ATCC43142,M9,R2,5/9/2020 5:20:44 PM
120,445,P. putida JBEI,PM02A,P. putida,ATCC4359,M9,R1,5/13/2020 11:49:24 AM
121,446,P. putida JBEI,PM02A,P. putida,ATCC4359,M9,R2,5/13/2020 11:49:24 AM
122,447,P. putida JBEI,PM02A,P. putida,ATCC53645,M9,R1,5/14/2020 10:23:42 AM
123,448,P. putida JBEI,PM02A,P. putida,ATCC53645,M9,R2,5/14/2020 10:23:42 AM
124,449,P. putida JBEI,PM02A,P. putida,ATCC700359,M9,R1,5/9/2020 5:20:44 PM
125,450,P. putida JBEI,PM02A,P. putida,ATCC700359,M9,R2,5/9/2020 5:20:44 PM
126,451,P. putida JBEI,PM02A,P. putida,KT2440,M9,R1,5/14/2020 10:23:42 AM
127,452,P. putida JBEI,PM02A,P. putida,KT2440,M9,R2,5/14/2020 10:23:42 AM
128,85,Duke E.coli,PM01,E. coli,GN02254,IF0,R1,7/20/2020 11:59:18 AM
129,86,Duke E.coli,PM01,E. coli,GN02254,IF0,R2,7/20/2020 11:59:18 AM
130,87,Duke E.coli,PM01,E. coli,GN02290,IF0,R1,7/20/2020 11:59:18 AM
131,88,Duke E.coli,PM01,E. coli,GN02290,IF0,R2,7/20/2020 11:59:18 AM
132,89,Duke E.coli,PM01,E. coli,GN03132,IF0,R1,7/20/2020 11:59:18 AM
133,90,Duke E.coli,PM01,E. coli,GN03132,IF0,R2,7/20/2020 11:59:18 AM
134,91,Duke E.coli,PM01,E. coli,GN03218,IF0,R1,7/20/2020 11:59:18 AM
135,92,Duke E.coli,PM01,E. coli,GN03218,IF0,R2,7/20/2020 11:59:18 AM
136,93,Duke E.coli,PM02A,E. coli,GN02254,IF0,R1,7/20/2020 11:59:18 AM
137,94,Duke E.coli,PM02A,E. coli,GN02254,IF0,R2,7/20/2020 11:59:18 AM
138,95,Duke E.coli,PM02A,E. coli,GN02290,IF0,R1,7/20/2020 11:59:18 AM
139,96,Duke E.coli,PM02A,E. coli,GN02290,IF0,R2,7/20/2020 11:59:18 AM
140,97,Duke E.coli,PM02A,E. coli,GN03132,IF0,R1,7/20/2020 11:59:18 AM
141,98,Duke E.coli,PM02A,E. coli,GN03132,IF0,R2,7/20/2020 11:59:18 AM
142,99,Duke E.coli,PM02A,E. coli,GN03218,IF0,R1,7/20/2020 11:59:18 AM
143,100,Duke E.coli,PM02A,E. coli,GN03218,IF0,R2,7/20/2020 11:59:18 AM
144,135,Duke E.coli,PM01,E. coli,GN03252,IF0,R1,7/26/2020 12:24:15 PM
145,136,Duke E.coli,PM01,E. coli,GN03252,IF0,R2,7/26/2020 12:24:15 PM
146,137,Duke E.coli,PM01,E. coli,GN04306,IF0,R1,7/26/2020 12:24:15 PM
147,138,Duke E.coli,PM01,E. coli,GN04306,IF0,R2,7/26/2020 12:24:15 PM
148,139,Duke E.coli,PM01,E. coli,GN04563,IF0,R1,7/26/2020 12:24:15 PM
149,140,Duke E.coli,PM01,E. coli,GN04563,IF0,R2,7/26/2020 12:24:15 PM
150,141,Duke E.coli,PM01,E. coli,GN04612,IF0,R1,7/26/2020 12:24:15 PM
151,142,Duke E.coli,PM01,E. coli,GN04612,IF0,R2,7/26/2020 12:24:15 PM
152,143,Duke E.coli,PM01,E. coli,GN05377,IF0,R1,7/26/2020 12:24:15 PM
153,144,Duke E.coli,PM01,E. coli,GN05377,IF0,R2,7/26/2020 12:24:15 PM
154,145,Duke E.coli,PM01,E. coli,GN05918,IF0,R1,7/26/2020 12:24:15 PM
155,146,Duke E.coli,PM01,E. coli,GN05918,IF0,R2,7/26/2020 12:24:15 PM
156,173,Duke E.coli,PM02A,E. coli,GN03252,IF0,R1,7/26/2020 12:24:15 PM
157,174,Duke E.coli,PM02A,E. coli,GN03252,IF0,R2,7/26/2020 12:24:15 PM
158,175,Duke E.coli,PM02A,E. coli,GN04306,IF0,R1,7/26/2020 12:24:15 PM
159,176,Duke E.coli,PM02A,E. coli,GN04306,IF0,R2,7/26/2020 12:24:15 PM
160,177,Duke E.coli,PM02A,E. coli,GN04563,IF0,R1,7/26/2020 12:24:15 PM
161,178,Duke E.coli,PM02A,E. coli,GN04563,IF0,R2,7/26/2020 12:24:15 PM
162,179,Duke E.coli,PM02A,E. coli,GN04612,IF0,R1,7/26/2020 12:24:15 PM
163,180,Duke E.coli,PM02A,E. coli,GN04612,IF0,R2,7/26/2020 12:24:15 PM
164,181,Duke E.coli,PM02A,E. coli,GN05377,IF0,R1,7/26/2020 12:24:15 PM
165,182,Duke E.coli,PM02A,E. coli,GN05377,IF0,R2,7/26/2020 12:24:15 PM
166,183,Duke E.coli,PM02A,E. coli,GN05918,IF0,R1,7/26/2020 12:24:15 PM
167,184,Duke E.coli,PM02A,E. coli,GN05918,IF0,R2,7/26/2020 12:24:15 PM
168,241,Duke E.coli,PM01,E. coli,GN02005,M9,R1,8/26/2020 12:25:58 PM
169,242,Duke E.coli,PM01,E. coli,GN02005,M9,R2,8/26/2020 12:25:58 PM
170,243,Duke E.coli,PM01,E. coli,GN02099,M9,R1,8/26/2020 12:25:58 PM
171,244,Duke E.coli,PM01,E. coli,GN02099,M9,R2,8/26/2020 12:25:58 PM
172,245,Duke E.coli,PM01,E. coli,GN02148,M9,R1,8/26/2020 12:25:58 PM
173,246,Duke E.coli,PM01,E. coli,GN02148,M9,R2,8/26/2020 12:25:58 PM
174,247,Duke E.coli,PM01,E. coli,GN02165,M9,R1,9/2/2020 2:11:29 PM
175,248,Duke E.coli,PM01,E. coli,GN02165,M9,R2,9/2/2020 2:11:29 PM
176,249,Duke E.coli,PM01,E. coli,GN02169,M9,R1,8/23/2020 11:45:21 AM
177,250,Duke E.coli,PM01,E. coli,GN02169,M9,R2,8/23/2020 11:45:21 AM
178,251,Duke E.coli,PM01,E. coli,GN02172,M9,R1,9/2/2020 2:11:29 PM
179,252,Duke E.coli,PM01,E. coli,GN02172,M9,R2,9/2/2020 2:11:29 PM
180,253,Duke E.coli,PM01,E. coli,GN02175,M9,R1,8/23/2020 11:45:20 AM
181,254,Duke E.coli,PM01,E. coli,GN02175,M9,R2,8/23/2020 11:45:20 AM
182,255,Duke E.coli,PM01,E. coli,GN02183,M9,R1,9/2/2020 2:11:29 PM
183,256,Duke E.coli,PM01,E. coli,GN02183,M9,R2,9/2/2020 2:11:29 PM
184,257,Duke E.coli,PM01,E. coli,GN02215,M9,R1,8/23/2020 11:45:20 AM
185,258,Duke E.coli,PM01,E. coli,GN02215,M9,R2,8/23/2020 11:45:20 AM
186,259,Duke E.coli,PM01,E. coli,GN02277,M9,R1,9/6/2020 1:10:07 PM
187,260,Duke E.coli,PM01,E. coli,GN02277,M9,R2,9/6/2020 1:10:07 PM
188,261,Duke E.coli,PM01,E. coli,GN02317,M9,R1,8/24/2020 2:05:17 PM
189,262,Duke E.coli,PM01,E. coli,GN02317,M9,R2,8/24/2020 2:05:17 PM
190,263,Duke E.coli,PM01,E. coli,GN02337,M9,R1,8/24/2020 2:05:17 PM
191,264,Duke E.coli,PM01,E. coli,GN02337,M9,R2,8/24/2020 2:05:17 PM
192,265,Duke E.coli,PM01,E. coli,GN02354,M9,R1,9/5/2020 1:56:42 PM
193,266,Duke E.coli,PM01,E. coli,GN02354,M9,R2,9/5/2020 1:56:42 PM
194,267,Duke E.coli,PM01,E. coli,GN02375,M9,R1,9/5/2020 1:56:42 PM
195,268,Duke E.coli,PM01,E. coli,GN02375,M9,R2,9/5/2020 1:56:42 PM
196,269,Duke E.coli,PM01,E. coli,GN02380,M9,R1,9/5/2020 1:56:42 PM
197,270,Duke E.coli,PM01,E. coli,GN02380,M9,R2,9/5/2020 1:56:42 PM
198,271,Duke E.coli,PM02A,E. coli,GN02005,M9,R1,8/26/2020 12:25:58 PM
199,272,Duke E.coli,PM02A,E. coli,GN02005,M9,R2,8/26/2020 12:25:58 PM
200,273,Duke E.coli,PM02A,E. coli,GN02099,M9,R1,8/26/2020 12:25:58 PM
201,274,Duke E.coli,PM02A,E. coli,GN02099,M9,R2,8/26/2020 12:25:58 PM
202,275,Duke E.coli,PM02A,E. coli,GN02148,M9,R1,8/26/2020 12:25:58 PM
203,276,Duke E.coli,PM02A,E. coli,GN02148,M9,R2,8/26/2020 12:25:58 PM
204,277,Duke E.coli,PM02A,E. coli,GN02165,M9,R1,9/2/2020 2:11:29 PM
205,278,Duke E.coli,PM02A,E. coli,GN02165,M9,R2,9/2/2020 2:11:29 PM
206,279,Duke E.coli,PM02A,E. coli,GN02169,M9,R1,8/23/2020 11:45:21 AM
207,280,Duke E.coli,PM02A,E. coli,GN02169,M9,R2,8/23/2020 11:45:21 AM
208,281,Duke E.coli,PM02A,E. coli,GN02172,M9,R1,9/2/2020 2:11:29 PM
209,282,Duke E.coli,PM02A,E. coli,GN02172,M9,R2,9/2/2020 2:11:29 PM
210,283,Duke E.coli,PM02A,E. coli,GN02175,M9,R1,8/23/2020 11:45:20 AM
211,284,Duke E.coli,PM02A,E. coli,GN02175,M9,R2,8/23/2020 11:45:20 AM
212,285,Duke E.coli,PM02A,E. coli,GN02183,M9,R1,9/2/2020 2:11:29 PM
213,286,Duke E.coli,PM02A,E. coli,GN02183,M9,R2,9/2/2020 2:11:29 PM
214,287,Duke E.coli,PM02A,E. coli,GN02215,M9,R1,8/23/2020 11:45:20 AM
215,288,Duke E.coli,PM02A,E. coli,GN02215,M9,R2,8/23/2020 11:45:20 AM
216,289,Duke E.coli,PM02A,E. coli,GN02277,M9,R1,9/6/2020 1:10:07 PM
217,290,Duke E.coli,PM02A,E. coli,GN02277,M9,R2,9/6/2020 1:10:07 PM
218,291,Duke E.coli,PM02A,E. coli,GN02317,M9,R1,8/24/2020 2:05:17 PM
219,292,Duke E.coli,PM02A,E. coli,GN02317,M9,R2,8/24/2020 2:05:17 PM
220,293,Duke E.coli,PM02A,E. coli,GN02337,M9,R1,8/24/2020 2:05:17 PM
221,294,Duke E.coli,PM02A,E. coli,GN02337,M9,R2,8/24/2020 2:05:17 PM
222,295,Duke E.coli,PM02A,E. coli,GN02354,M9,R1,9/5/2020 1:56:42 PM
223,296,Duke E.coli,PM02A,E. coli,GN02354,M9,R2,9/5/2020 1:56:42 PM
224,297,Duke E.coli,PM02A,E. coli,GN02375,M9,R1,9/5/2020 1:56:42 PM
225,298,Duke E.coli,PM02A,E. coli,GN02375,M9,R2,9/5/2020 1:56:42 PM
226,299,Duke E.coli,PM02A,E. coli,GN02380,M9,R1,9/5/2020 1:56:42 PM
227,300,Duke E.coli,PM02A,E. coli,GN02380,M9,R2,9/5/2020 1:56:42 PM
228,301,Duke E.coli,PM11C,E. coli,GN02005,IF10b,R1,8/26/2020 12:25:58 PM
229,302,Duke E.coli,PM11C,E. coli,GN02005,IF10b,R2,8/26/2020 12:25:58 PM
230,303,Duke E.coli,PM11C,E. coli,GN02099,IF10b,R1,8/26/2020 12:25:58 PM
231,304,Duke E.coli,PM11C,E. coli,GN02099,IF10b,R2,8/26/2020 12:25:58 PM
232,305,Duke E.coli,PM11C,E. coli,GN02148,IF10b,R1,8/26/2020 12:25:58 PM
233,306,Duke E.coli,PM11C,E. coli,GN02148,IF10b,R2,8/26/2020 12:25:58 PM
234,307,Duke E.coli,PM11C,E. coli,GN02165,IF10b,R1,9/2/2020 2:11:29 PM
235,308,Duke E.coli,PM11C,E. coli,GN02165,IF10b,R2,9/2/2020 2:11:29 PM
236,309,Duke E.coli,PM11C,E. coli,GN02169,IF10b,R1,8/23/2020 11:45:21 AM
237,310,Duke E.coli,PM11C,E. coli,GN02169,IF10b,R2,8/23/2020 11:45:21 AM
238,311,Duke E.coli,PM11C,E. coli,GN02172,IF10b,R1,9/2/2020 2:11:29 PM
239,312,Duke E.coli,PM11C,E. coli,GN02172,IF10b,R2,9/2/2020 2:11:29 PM
240,313,Duke E.coli,PM11C,E. coli,GN02175,IF10b,R1,8/23/2020 11:45:20 AM
241,314,Duke E.coli,PM11C,E. coli,GN02175,IF10b,R2,8/23/2020 11:45:20 AM
242,315,Duke E.coli,PM11C,E. coli,GN02183,IF10b,R1,9/2/2020 2:11:29 PM
243,316,Duke E.coli,PM11C,E. coli,GN02183,IF10b,R2,9/2/2020 2:11:29 PM
244,317,Duke E.coli,PM11C,E. coli,GN02215,IF10b,R1,8/23/2020 11:45:20 AM
245,318,Duke E.coli,PM11C,E. coli,GN02215,IF10b,R2,8/23/2020 11:45:20 AM
246,319,Duke E.coli,PM11C,E. coli,GN02254,IF10b,R1,9/6/2020 1:10:07 PM
247,320,Duke E.coli,PM11C,E. coli,GN02254,IF10b,R2,9/6/2020 1:10:07 PM
248,321,Duke E.coli,PM11C,E. coli,GN02277,IF10b,R1,9/6/2020 1:10:07 PM
249,322,Duke E.coli,PM11C,E. coli,GN02277,IF10b,R2,9/6/2020 1:10:07 PM
250,323,Duke E.coli,PM11C,E. coli,GN02290,IF10b,R1,9/6/2020 1:10:07 PM
251,324,Duke E.coli,PM11C,E. coli,GN02290,IF10b,R2,9/6/2020 1:10:07 PM
252,325,Duke E.coli,PM11C,E. coli,GN02317,IF10b,R1,8/24/2020 2:05:17 PM
253,326,Duke E.coli,PM11C,E. coli,GN02317,IF10b,R2,8/24/2020 2:05:17 PM
254,327,Duke E.coli,PM11C,E. coli,GN02337,IF10b,R1,8/24/2020 2:05:17 PM
255,328,Duke E.coli,PM11C,E. coli,GN02337,IF10b,R2,8/24/2020 2:05:17 PM
256,329,Duke E.coli,PM11C,E. coli,GN02354,IF10b,R1,9/5/2020 1:56:42 PM
257,330,Duke E.coli,PM11C,E. coli,GN02354,IF10b,R2,9/5/2020 1:56:42 PM
258,331,Duke E.coli,PM11C,E. coli,GN02375,IF10b,R1,9/5/2020 1:56:42 PM
259,332,Duke E.coli,PM11C,E. coli,GN02375,IF10b,R2,9/5/2020 1:56:42 PM
260,333,Duke E.coli,PM11C,E. coli,GN02380,IF10b,R1,9/5/2020 1:56:42 PM
261,334,Duke E.coli,PM11C,E. coli,GN02380,IF10b,R2,9/5/2020 1:56:42 PM
262,335,Duke E.coli,PM12B,E. coli,GN02005,IF10b,R1,8/26/2020 12:25:58 PM
263,336,Duke E.coli,PM12B,E. coli,GN02005,IF10b,R2,8/26/2020 12:25:58 PM
264,337,Duke E.coli,PM12B,E. coli,GN02099,IF10b,R1,8/26/2020 12:25:58 PM
265,338,Duke E.coli,PM12B,E. coli,GN02099,IF10b,R2,8/26/2020 12:25:58 PM
266,339,Duke E.coli,PM12B,E. coli,GN02148,IF10b,R1,8/26/2020 12:25:58 PM
267,340,Duke E.coli,PM12B,E. coli,GN02148,IF10b,R2,8/26/2020 12:25:58 PM
268,341,Duke E.coli,PM12B,E. coli,GN02165,IF10b,R1,9/2/2020 2:11:29 PM
269,342,Duke E.coli,PM12B,E. coli,GN02165,IF10b,R2,9/2/2020 2:11:29 PM
270,343,Duke E.coli,PM12B,E. coli,GN02169,IF10b,R1,8/23/2020 11:45:20 AM
271,344,Duke E.coli,PM12B,E. coli,GN02169,IF10b,R2,8/23/2020 11:45:21 AM
272,345,Duke E.coli,PM12B,E. coli,GN02172,IF10b,R1,9/2/2020 2:11:29 PM
273,346,Duke E.coli,PM12B,E. coli,GN02172,IF10b,R2,9/2/2020 2:11:29 PM
274,347,Duke E.coli,PM12B,E. coli,GN02175,IF10b,R1,8/23/2020 11:45:20 AM
275,348,Duke E.coli,PM12B,E. coli,GN02175,IF10b,R2,8/23/2020 11:45:20 AM
276,349,Duke E.coli,PM12B,E. coli,GN02183,IF10b,R1,9/2/2020 2:11:29 PM
277,350,Duke E.coli,PM12B,E. coli,GN02183,IF10b,R2,9/2/2020 2:11:29 PM
278,351,Duke E.coli,PM12B,E. coli,GN02215,IF10b,R1,8/23/2020 11:45:20 AM
279,352,Duke E.coli,PM12B,E. coli,GN02215,IF10b,R2,8/23/2020 11:45:20 AM
280,353,Duke E.coli,PM12B,E. coli,GN02254,IF10b,R1,9/6/2020 1:10:07 PM
